id,stock_symbol,date,pattern_name,description,bullish,confidence
1,TJX,2025-04-30,Hammer,,true,0.8
2,TJX,2025-05-05,Bearish Engulfing,,false,0.9
3,TJX,2025-05-05,Shooting Star,,false,0.8
4,TJX,2025-05-07,Shooting Star,,false,0.8
5,TJX,2025-05-08,Bearish Engulfing,,false,0.9
6,TJX,2025-05-20,Doji,,,
7,TJX,2025-05-21,Doji,,,
8,TJX,2025-05-30,Hammer,,true,0.8
9,TJX,2025-06-02,Bullish Engulfing,,true,0.9
10,TJX,2025-06-03,Doji,,,
11,TJX,2025-06-04,Doji,,,
12,TJX,2025-06-11,Bearish Engulfing,,false,0.9
13,TJX,2025-06-12,Doji,,,
14,TJX,2025-06-13,Shooting Star,,false,0.8
15,TJX,2025-06-16,Shooting Star,,false,0.8
16,TJX,2025-06-17,Shooting Star,,false,0.8
17,TJX,2025-06-26,Hammer,,true,0.8
18,TJX,2025-06-27,Bullish Engulfing,,true,0.9
19,TJX,2025-06-30,Hammer,,true,0.8
20,TJX,2025-07-02,Doji,,,
21,TJX,2025-07-07,Bearish Engulfing,,false,0.9
22,TJX,2025-07-09,Doji,,,
23,TJX,2025-07-11,Doji,,,
24,TJX,2025-07-17,Bullish Engulfing,,true,0.9
25,TJX,2025-07-30,Bearish Engulfing,,false,0.9
26,TJX,2025-07-31,Shooting Star,,false,0.8
27,TJX,2025-08-01,Bullish Engulfing,,true,0.9
28,TJX,2025-08-14,Doji,,,
29,TJX,2025-08-18,Doji,,,
30,TJX,2025-09-02,Bullish Engulfing,,true,0.9
31,TJX,2025-09-05,Bearish Engulfing,,false,0.9
32,TJX,2025-09-10,Hammer,,true,0.8
33,TJX,2025-09-17,Doji,,,
34,TJX,2025-09-18,Doji,,,
35,TJX,2025-09-23,Hammer,,true,0.8
36,TJX,2025-09-29,Hammer,,true,0.8
37,TJX,2025-10-06,Bullish Engulfing,,true,0.9
38,TJX,2025-10-07,Doji,,,
39,TJX,2025-10-16,Bearish Engulfing,,false,0.9
40,TJX,2025-10-22,Bearish Engulfing,,false,0.9
41,AAPL,2025-05-06,Doji,,,
42,AAPL,2025-05-07,Bearish Engulfing,,false,0.9
43,AAPL,2025-05-08,Doji,,,
44,AAPL,2025-05-12,Doji,,,
45,AAPL,2025-05-13,Bullish Engulfing,,true,0.9
46,AAPL,2025-05-14,Doji,,,
47,AAPL,2025-05-19,Hammer,,true,0.8
48,AAPL,2025-05-20,Hammer,,true,0.8
49,AAPL,2025-05-28,Doji,,,
50,AAPL,2025-06-04,Doji,,,
51,AAPL,2025-06-09,Bearish Engulfing,,false,0.9
52,AAPL,2025-06-11,Bearish Engulfing,,false,0.9
53,AAPL,2025-06-12,Doji,,,
54,AAPL,2025-06-13,Bearish Engulfing,,false,0.9
55,AAPL,2025-06-23,Doji,,,
56,AAPL,2025-06-25,Doji,,,
57,AAPL,2025-07-01,Shooting Star,,false,0.8
58,AAPL,2025-07-08,Doji,,,
59,AAPL,2025-07-09,Bullish Engulfing,,true,0.9
60,AAPL,2025-07-15,Doji,,,
61,AAPL,2025-07-16,Doji,,,
62,AAPL,2025-07-17,Shooting Star,,false,0.8
63,AAPL,2025-07-21,Doji,,,
64,AAPL,2025-07-23,Hammer,,true,0.8
65,AAPL,2025-07-24,Doji,,,
66,AAPL,2025-07-28,Doji,,,
67,AAPL,2025-07-29,Bearish Engulfing,,false,0.9
68,AAPL,2025-08-25,Shooting Star,,false,0.8
69,AAPL,2025-09-03,Hammer,,true,0.8
70,AAPL,2025-09-15,Doji,,,
71,AAPL,2025-09-16,Shooting Star,,false,0.8
72,AAPL,2025-09-17,Doji,,,
73,AAPL,2025-09-18,Bearish Engulfing,,false,0.9
74,AAPL,2025-09-29,Doji,,,
75,AAPL,2025-09-30,Doji,,,
76,AAPL,2025-10-01,Shooting Star,,false,0.8
77,AAPL,2025-10-15,Doji,,,
78,AAPL,2025-10-16,Hammer,,true,0.8
79,AAPL,2025-10-21,Shooting Star,,false,0.8
80,ABNB,2025-04-30,Hammer,,true,0.8
81,ABNB,2025-05-28,Bearish Engulfing,,false,0.9
82,ABNB,2025-06-06,Shooting Star,,false,0.8
83,ABNB,2025-06-09,Bearish Engulfing,,false,0.9
84,ABNB,2025-06-10,Shooting Star,,false,0.8
85,ABNB,2025-06-18,Shooting Star,,false,0.8
86,ABNB,2025-06-23,Hammer,,true,0.8
87,ABNB,2025-06-24,Doji,,,
88,ABNB,2025-06-25,Bearish Engulfing,,false,0.9
89,ABNB,2025-06-27,Hammer,,true,0.8
90,ABNB,2025-06-30,Bearish Engulfing,,false,0.9
91,ABNB,2025-07-01,Bullish Engulfing,,true,0.9
92,ABNB,2025-07-02,Doji,,,
93,ABNB,2025-07-03,Shooting Star,,false,0.8
94,ABNB,2025-07-08,Shooting Star,,false,0.8
95,ABNB,2025-07-10,Doji,,,
96,ABNB,2025-07-14,Bullish Engulfing,,true,0.9
97,ABNB,2025-07-16,Hammer,,true,0.8
98,ABNB,2025-07-22,Hammer,,true,0.8
99,ABNB,2025-07-23,Doji,,,
100,ABNB,2025-07-29,Bearish Engulfing,,false,0.9
101,ABNB,2025-08-06,Doji,,,
102,ABNB,2025-08-07,Doji,,,
103,ABNB,2025-08-15,Doji,,,
104,ABNB,2025-08-19,Shooting Star,,false,0.8
105,ABNB,2025-08-20,Doji,,,
106,ABNB,2025-08-21,Bullish Engulfing,,true,0.9
107,ABNB,2025-08-28,Hammer,,true,0.8
108,ABNB,2025-09-04,Hammer,,true,0.8
109,ABNB,2025-09-05,Bearish Engulfing,,false,0.9
110,ABNB,2025-09-09,Shooting Star,,false,0.8
111,ABNB,2025-09-22,Doji,,,
112,ABNB,2025-10-06,Shooting Star,,false,0.8
113,ABNB,2025-10-13,Doji,,,
114,ABNB,2025-10-14,Bullish Engulfing,,true,0.9
115,ABNB,2025-10-15,Doji,,,
116,ABNB,2025-10-23,Doji,,,
117,ABNB,2025-10-24,Shooting Star,,false,0.8
118,ABNB,2025-10-27,Hammer,,true,0.8
119,ACGL,2025-06-03,Doji,,,
120,ACGL,2025-06-12,Bullish Engulfing,,true,0.9
121,ACGL,2025-06-16,Doji,,,
122,ACGL,2025-06-17,Hammer,,true,0.8
123,ACGL,2025-06-27,Doji,,,
124,ACGL,2025-07-01,Doji,,,
125,ACGL,2025-07-14,Bullish Engulfing,,true,0.9
126,ACGL,2025-08-05,Doji,,,
127,ACGL,2025-08-07,Bearish Engulfing,,false,0.9
128,ACGL,2025-08-12,Bearish Engulfing,,false,0.9
129,ACGL,2025-09-02,Bearish Engulfing,,false,0.9
130,ACGL,2025-09-03,Bullish Engulfing,,true,0.9
131,ACGL,2025-09-12,Doji,,,
132,ACGL,2025-09-17,Doji,,,
133,ACGL,2025-09-23,Bullish Engulfing,,true,0.9
134,ACGL,2025-10-01,Doji,,,
135,ACGL,2025-10-03,Bullish Engulfing,,true,0.9
136,ACGL,2025-10-06,Shooting Star,,false,0.8
137,ACGL,2025-10-14,Doji,,,
138,ACGL,2025-10-17,Doji,,,
139,ACGL,2025-10-21,Bullish Engulfing,,true,0.9
140,ACN,2025-05-01,Doji,,,
141,ACN,2025-05-06,Doji,,,
142,ACN,2025-05-08,Doji,,,
143,ACN,2025-05-13,Shooting Star,,false,0.8
144,ACN,2025-05-14,Hammer,,true,0.8
145,ACN,2025-05-15,Bullish Engulfing,,true,0.9
146,ACN,2025-05-16,Doji,,,
147,ACN,2025-05-21,Shooting Star,,false,0.8
148,ACN,2025-05-29,Doji,,,
149,ACN,2025-05-30,Bearish Engulfing,,false,0.9
150,ACN,2025-05-30,Hammer,,true,0.8
151,ACN,2025-06-02,Hammer,,true,0.8
152,ACN,2025-06-03,Doji,,,
153,ACN,2025-06-12,Hammer,,true,0.8
154,ACN,2025-06-16,Doji,,,
155,ACN,2025-06-17,Shooting Star,,false,0.8
156,ACN,2025-06-20,Hammer,,true,0.8
157,ACN,2025-06-25,Bearish Engulfing,,false,0.9
158,ACN,2025-06-26,Hammer,,true,0.8
159,ACN,2025-07-02,Hammer,,true,0.8
160,ACN,2025-07-08,Shooting Star,,false,0.8
161,ACN,2025-07-14,Hammer,,true,0.8
162,ACN,2025-07-18,Hammer,,true,0.8
163,ACN,2025-07-22,Bullish Engulfing,,true,0.9
164,ACN,2025-07-24,Doji,,,
165,ACN,2025-08-04,Hammer,,true,0.8
166,ACN,2025-08-06,Doji,,,
167,ACN,2025-08-12,Bearish Engulfing,,false,0.9
168,ACN,2025-08-21,Hammer,,true,0.8
169,ACN,2025-08-26,Doji,,,
170,ACN,2025-09-03,Hammer,,true,0.8
171,ACN,2025-09-04,Doji,,,
172,ACN,2025-09-05,Bullish Engulfing,,true,0.9
173,ACN,2025-09-08,Doji,,,
174,ACN,2025-09-12,Bearish Engulfing,,false,0.9
175,ACN,2025-09-19,Doji,,,
176,ACN,2025-09-22,Doji,,,
177,ACN,2025-09-23,Bearish Engulfing,,false,0.9
178,ACN,2025-09-30,Doji,,,
179,ACN,2025-10-08,Hammer,,true,0.8
180,ADI,2025-05-06,Shooting Star,,false,0.8
181,ADI,2025-05-09,Doji,,,
182,ADI,2025-05-12,Doji,,,
183,ADI,2025-05-14,Hammer,,true,0.8
184,ADI,2025-05-16,Doji,,,
185,ADI,2025-05-19,Shooting Star,,false,0.8
186,ADI,2025-05-21,Doji,,,
187,ADI,2025-05-30,Hammer,,true,0.8
188,ADI,2025-06-02,Bullish Engulfing,,true,0.9
189,ADI,2025-06-25,Hammer,,true,0.8
190,ADI,2025-06-27,Doji,,,
191,ADI,2025-07-03,Doji,,,
192,ADI,2025-07-09,Bearish Engulfing,,false,0.9
193,ADI,2025-07-10,Doji,,,
194,ADI,2025-07-15,Bearish Engulfing,,false,0.9
195,ADI,2025-07-16,Hammer,,true,0.8
196,ADI,2025-07-23,Hammer,,true,0.8
197,ADI,2025-07-30,Hammer,,true,0.8
198,ADI,2025-08-04,Bullish Engulfing,,true,0.9
199,ADI,2025-08-05,Bearish Engulfing,,false,0.9
200,ADI,2025-08-06,Doji,,,
