id,stock_symbol,date,open,high,low,close,volume
1,TJX,2025-04-28,126.77,127.79,126.11,127.13,3573200
2,TJX,2025-04-29,126.9,128.21,126.13,128.03,3886700
3,TJX,2025-04-30,127.98,128.87,126.52,128.68,5685800
4,TJX,2025-05-01,127.86,128.78,127.34,127.63,4585300
5,TJX,2025-05-02,129,129.78,128.23,129.21,4720700
6,TJX,2025-05-05,129.21,129.89,128.8,128.94,4869600
7,TJX,2025-05-06,127.63,128.87,127.48,128.46,3472100
8,TJX,2025-05-07,128.1,129.9,128.1,128.65,5967700
9,TJX,2025-05-08,129.07,130.27,127.73,128.09,4443600
10,TJX,2025-05-09,127.56,128.35,126.96,128.1,4131100
11,TJX,2025-05-12,130.31,131.54,128.63,131.49,4810500
12,TJX,2025-05-13,131.68,132.47,130.37,130.82,5471800
13,TJX,2025-05-14,130.5,131.52,130,131.25,5763100
14,TJX,2025-05-15,131.14,133.18,130.91,133.04,4846400
15,TJX,2025-05-16,133,133.9,132.48,133.34,4874400
16,TJX,2025-05-19,133.08,135.29,132.55,135.03,5118900
17,TJX,2025-05-20,134.87,135.85,134.26,134.93,7061100
18,TJX,2025-05-21,131.15,133,129.96,131.03,12025600
19,TJX,2025-05-22,130.39,131.36,129.12,129.58,5341800
20,TJX,2025-05-23,128,128.12,124.92,125.7,8787100
21,TJX,2025-05-27,126.64,128.24,126.36,127.96,7198200
22,TJX,2025-05-28,127.59,128.43,126.07,126.22,4344800
23,TJX,2025-05-29,127.35,127.93,126.7,127.07,6410900
24,TJX,2025-05-30,127.15,127.29,126.2,126.9,9364900
25,TJX,2025-06-02,126.25,128.46,125.88,128.43,6271000
26,TJX,2025-06-03,128.24,128.4,126.83,128.12,5132600
27,TJX,2025-06-04,128.22,129.07,127.55,128.07,4437200
28,TJX,2025-06-05,128.06,128.19,126.53,127.37,4693600
29,TJX,2025-06-06,127.94,128.79,127.3,128.45,4612900
30,TJX,2025-06-09,128.01,128.08,125.74,126.35,4754800
31,TJX,2025-06-10,125.7,126.58,125.46,126.04,4684800
32,TJX,2025-06-11,126.21,126.21,124.3,124.53,4145800
33,TJX,2025-06-12,124.47,124.94,123.56,124.46,4087600
34,TJX,2025-06-13,123.5,124.97,123.25,123.91,3786600
35,TJX,2025-06-16,124.56,125.32,124.08,124.27,4930200
36,TJX,2025-06-17,123.47,124.6,122.72,123.01,4264600
37,TJX,2025-06-18,123.45,123.5,122.41,122.54,4924800
38,TJX,2025-06-20,123.05,123.78,122.5,123.5,6729700
39,TJX,2025-06-23,123.45,124.97,122.72,124.76,4072700
40,TJX,2025-06-24,124.95,125.55,124.18,124.6,4546200
41,TJX,2025-06-25,124.49,124.75,122.45,122.48,4669700
42,TJX,2025-06-26,122.77,122.77,119.9,122.14,8415100
43,TJX,2025-06-27,121.98,123.79,121.64,123.38,9786300
44,TJX,2025-06-30,123.99,123.99,122.26,123.49,6228000
45,TJX,2025-07-01,123.67,125.65,123.16,125.16,5126200
46,TJX,2025-07-02,125.39,125.63,124.31,125.31,4790200
47,TJX,2025-07-03,125.35,126.11,124.77,125.86,2986600
48,TJX,2025-07-07,125.95,126.2,124.72,125.17,3945000
49,TJX,2025-07-08,125.02,125.65,124.15,125.26,5683300
50,TJX,2025-07-09,125.52,125.95,124.35,125.45,3818100
51,TJX,2025-07-10,125.02,125.37,123.99,124.16,5051100
52,TJX,2025-07-11,123.73,124.17,123.37,123.71,4145900
53,TJX,2025-07-14,123.15,123.69,122.52,123.56,4651200
54,TJX,2025-07-15,123.19,123.79,121.72,121.74,4720500
55,TJX,2025-07-16,122.13,122.29,119.84,121.35,6151800
56,TJX,2025-07-17,121.05,122.39,121,122.17,3828200
57,TJX,2025-07-18,122.3,122.82,122,122.17,3464300
58,TJX,2025-07-21,122.49,125.17,122.3,124.94,4721900
59,TJX,2025-07-22,125.08,126.43,124.23,125.6,4284900
60,TJX,2025-07-23,126.19,127.04,125.93,126.36,4367500
61,TJX,2025-07-24,126.07,126.72,125.4,126.26,4722800
62,TJX,2025-07-25,126.76,127.02,125.96,126.44,5143200
