symbol,name,price,change,change_percent,volume,market_cap,last_updated,is_tracked
A,Agilent Technologies,144.69,-1.67,-1.14102,1187013,41019677474,2025-11-03 05:00:00+00,true
AAPL,Apple Inc.Apple Inc.,269.05,-1.32001,-0.488223,48150989,3975577594274,2025-11-03 05:00:00+00,true
ABBV,AbbVie,211.96,-6.07999,-2.78847,8868311,374439699166,2025-11-03 05:00:00+00,true
ABNB,Airbnb,126.8,0.260002,0.20547,3925013,77508786040,2025-11-03 05:00:00+00,true
ABT,Abbott Laboratories,123.84,0.219994,0.17796,5367854,217170960405,2025-11-03 05:00:00+00,true
ACGL,Arch Capital Group,86,-0.309998,-0.359168,2802818,31587800000,2025-11-03 05:00:00+00,true
ACN,Accenture,248.44,-1.66,-0.663736,3180173,154067307842,2025-11-03 05:00:00+00,true
ADBE,Adobe Inc.,337.47,-2.84,-0.834532,3713475,141264942510,2025-11-03 05:00:00+00,true
ADI,Analog Devices,233.61,-0.520004,-0.222101,2064422,114925709704,2025-11-03 05:00:00+00,true
ADM,Archer Daniels Midland,60.09,-0.439999,-0.72691,2768935,28947426358,2025-11-03 05:00:00+00,true
ADP,Automatic Data Processing,257.17,-3.12997,-1.20245,2326795,104624177216,2025-11-03 05:00:00+00,true
ADSK,Autodesk,303.64,2.30002,0.763264,1039657,64675323120,2025-11-03 05:00:00+00,true
AEE,Ameren,101.54,-0.479996,-0.470492,961765,27648511042,2025-11-03 05:00:00+00,true
AEP,American Electric Power,119.92,-0.340004,-0.282724,2656832,65059066240,2025-11-03 05:00:00+00,true
AES,AES Corporation,13.62,-0.25,-1.80245,9406629,9802997260,2025-11-03 05:00:00+00,true
AFL,Aflac,106.97,-0.220001,-0.205244,1418228,57210925138,2025-11-03 05:00:00+00,true
AIG,American International Group,78.96,0,0,3294870,43744143488,2025-11-03 05:00:00+00,true
AIZ,Assurant,212.11,0.389999,0.184205,221298,10702903276,2025-11-03 05:00:00+00,true
AJG,Arthur J. Gallagher & Co.,242.98,-6.51001,-2.60933,2115857,65421988202,2025-11-03 05:00:00+00,true
AKAM,Akamai Technologies,74.53,-0.57,-0.758988,1961960,10686523226,2025-11-03 05:00:00+00,true
ALB,Albemarle Corporation,96.53,-1.7,-1.73064,2540042,11359933282,2025-11-03 05:00:00+00,true
ALGN,Align Technology,138.53,0.649994,0.47142,1233770,10041536470,2025-11-03 05:00:00+00,true
ALL,Allstate,191.25,-0.270004,-0.14098,1347754,50395395127,2025-11-03 05:00:00+00,true
ALLE,Allegion,164.68,-1.09001,-0.657545,609782,14167741389,2025-11-03 05:00:00+00,true
AMAT,Applied Materials,237.71,4.61,1.97769,6016758,189369876670,2025-11-03 05:00:00+00,true
AMCR,Amcor,7.86,-0.04,-0.506329,28401831,18143709444,2025-11-03 05:00:00+00,true
AMD,Advanced Micro Devices,259.65,3.53,1.37826,33423917,421371353943,2025-11-03 05:00:00+00,true
AME,Ametek,198.71,-3.39999,-1.68225,1174910,45743813149,2025-11-03 05:00:00+00,true
AMGN,Amgen,296.3,-2.13,-0.713737,2751984,159516609879,2025-11-03 05:00:00+00,true
AMP,Ameriprise Financial,452.38,-0.389984,-0.0861329,701848,42646571035,2025-11-03 05:00:00+00,true
AMT,American Tower,176.64,-2.34,-1.30741,3383077,82910571407,2025-11-03 05:00:00+00,true
AMZN,Amazon,254,9.78,4.00459,91993793,2715314866794,2025-11-03 05:00:00+00,true
ANET,Arista Networks,157.59,-0.100006,-0.0634194,5309607,199011462039,2025-11-03 05:00:00+00,true
AON,Aon plc,339.84,-0.839996,-0.246565,1461129,73278541934,2025-11-03 05:00:00+00,true
AOS,A. O. Smith,65.66,-0.329994,-0.500067,1027495,9142355639,2025-11-03 05:00:00+00,true
APA,APA Corporation,22.49,-0.16,-0.706401,5750242,8046617403,2025-11-03 05:00:00+00,true
APD,Air Products,239.36,-3.23,-1.33146,1166890,53724991467,2025-11-03 05:00:00+00,true
APH,Amphenol,141.55,2.21001,1.58605,9526709,173265060892,2025-11-03 05:00:00+00,true
APO,Apollo Global Management,123.95,-0.360001,-0.289599,3947412,70902712057,2025-11-03 05:00:00+00,true
APTV,Aptiv,81.77,0.669998,0.826138,2808064,17668812712,2025-11-03 05:00:00+00,true
ARE,Alexandria Real Estate Equities,55.69,-2.53,-4.34559,2950989,9624627298,2025-11-03 05:00:00+00,true
ATO,Atmos Energy,172.7,0.979996,0.570694,551269,27722420221,2025-11-03 05:00:00+00,true
AVB,AvalonBay Communities,175.37,1.45,0.833715,960886,25017285297,2025-11-03 05:00:00+00,true
AVGO,Broadcom,362.55,-7.08002,-1.91543,15631322,1712093381080,2025-11-03 05:00:00+00,true
AVY,Avery Dennison,174.27,-0.619995,-0.354506,647303,13470268642,2025-11-03 05:00:00+00,true
AWK,American Water Works,125.97,-2.45999,-1.91543,1324726,24579715721,2025-11-03 05:00:00+00,true
AXON,Axon Enterprise,724.1,-8.13,-1.11031,596586,57361321026,2025-11-03 05:00:00+00,true
AXP,American Express,361.62,0.889984,0.246718,1409003,249102531394,2025-11-03 05:00:00+00,true
AZO,AutoZone,3576.14,-98.29,-2.67497,226686,59480729674,2025-11-03 05:00:00+00,true
BA,Boeing,204.55,3.53,1.75604,7451416,155477530299,2025-11-03 05:00:00+00,true
BAC,Bank of America,53.56,0.110001,0.205801,31199775,392563848582,2025-11-03 05:00:00+00,true
BALL,Ball Corporation,47.11,0.110001,0.234044,3021939,12820934609,2025-11-03 05:00:00+00,true
BAX,Baxter International,18.21,-0.26,-1.40769,11393299,9353039050,2025-11-03 05:00:00+00,true
BBY,Best Buy,81.52,-0.620003,-0.754812,3286204,17344310407,2025-11-03 05:00:00+00,true
BDX,Becton Dickinson,177.3,-1.41,-0.78899,2913319,51009576293,2025-11-03 05:00:00+00,true
BEN,Franklin Resources,22.84,0.23,1.01725,3311256,11858424728,2025-11-03 05:00:00+00,true
BF.B,Brown–Forman,27.53,0.300001,1.10173,4233527,12736963027,2025-11-03 05:00:00+00,true
BG,Bunge Global,94.02,-0.580002,-0.61311,945628,18809830260,2025-11-03 05:00:00+00,true
BIIB,Biogen,151.44,-2.83,-1.83445,2094776,22216592429,2025-11-03 05:00:00+00,true
BK,BNY Mellon,108.06,0.129997,0.120446,2249169,75355544636,2025-11-03 05:00:00+00,true
BKNG,Booking Holdings,5030.55,-47.1904,-0.929359,226906,162153811752,2025-11-03 05:00:00+00,true
BKR,Baker Hughes,48.64,0.23,0.475107,5211965,47996681018,2025-11-03 05:00:00+00,true
BLDR,Builders FirstSource,112.97,-3.2,-2.75458,2312075,12492288370,2025-11-03 05:00:00+00,true
BLK,BlackRock,1068.83,-13.9801,-1.29109,790026,165775526184,2025-11-03 05:00:00+00,true
BMY,Bristol Myers Squibb,46.02,-0.0499992,-0.108529,19859846,93685355234,2025-11-03 05:00:00+00,true
BR,Broadridge Financial Solutions,221.18,0.779999,0.353901,814095,25886381482,2025-11-03 05:00:00+00,true
BRK.B,Berkshire Hathaway,475.68,-1.86002,-0.389499,4878988,1028380563308,2025-11-03 05:00:00+00,true
BRO,Brown & Brown,77.82,-1.92,-2.40782,3652692,26569365773,2025-11-03 05:00:00+00,true
BSX,Boston Scientific,98.59,-2.13,-2.11478,7956403,146085888169,2025-11-03 05:00:00+00,true
BX,Blackstone Inc.,144.42,-2.22,-1.51391,4483297,179800828037,2025-11-03 05:00:00+00,true
BXP,"BXP, Inc.",70.61,-0.580002,-0.814724,984140,12485844323,2025-11-03 05:00:00+00,true
C,Citigroup,101.61,0.379997,0.37538,7508218,181810774092,2025-11-03 05:00:00+00,true
CAG,Conagra Brands,17.29,0.1,0.581736,12352296,8381361227,2025-11-03 05:00:00+00,true
CAH,Cardinal Health,190.22,-0.550003,-0.288307,2002826,45192978060,2025-11-03 05:00:00+00,true
CARR,Carrier Global,57.86,-1.63,-2.73996,4744440,48730258442,2025-11-03 05:00:00+00,true
CAT,Caterpillar Inc.,570.59,-6.66998,-1.15546,2431450,267309401255,2025-11-03 05:00:00+00,true
CB,Chubb Limited,278.25,1.31,0.473026,1620995,109948388382,2025-11-03 05:00:00+00,true
CBOE,Cboe Global Markets,246.92,1.28,0.521087,1030032,25838823205,2025-11-03 05:00:00+00,true
CBRE,CBRE Group,150.61,-1.81999,-1.19399,1312676,44955739783,2025-11-03 05:00:00+00,true
CCI,Crown Castle,89.52,-0.700005,-0.775886,3524003,38983278398,2025-11-03 05:00:00+00,true
CCL,Carnival,28.71,-0.120001,-0.416236,21210070,37046654819,2025-11-03 05:00:00+00,true
CDNS,Cadence Design Systems,335.41,-3.28,-0.968437,1452171,91298938406,2025-11-03 05:00:00+00,true
CDW,CDW Corporation,154.83,-4.53999,-2.84871,2278302,20292135388,2025-11-03 05:00:00+00,true
CEG,Constellation Energy,377.71,0.709991,0.188327,2243569,117998708574,2025-11-03 05:00:00+00,true
CF,CF Industries,84.41,1.12,1.3447,1886757,13672137724,2025-11-03 05:00:00+00,true
CFG,Citizens Financial Group,51.01,0.139999,0.27521,2700652,22008424049,2025-11-03 05:00:00+00,true
CHD,Church & Dwight,86.28,-1.41,-1.60794,3608277,21018557907,2025-11-03 05:00:00+00,true
CHRW,C.H. Robinson,152.15,-1.84001,-1.19489,1644891,17974570911,2025-11-03 05:00:00+00,true
CHTR,Charter Communications,222.2,-11.64,-4.97776,2972628,30350516227,2025-11-03 05:00:00+00,true
CI,Cigna,258.62,14.21,5.814,5429053,69084077229,2025-11-03 05:00:00+00,true
CINF,Cincinnati Financial,153.66,-0.929993,-0.601587,715334,23981559270,2025-11-03 05:00:00+00,true
CL,Colgate-Palmolive,74.98,-2.07,-2.68657,9898990,60600399421,2025-11-03 05:00:00+00,true
CLX,Clorox,109.14,-3.32,-2.95216,3364831,13290368337,2025-11-03 05:00:00+00,true
